RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
,Anfernee Simons,Por,G,21.19,70,20.7,43.1,18.7,9.6,92,0.826,311,0.447,226,0.332,0.468,0.501,8.3,2.2,5.5,1.4,9.2,0.37,0.14,0.87,5.7,101.6,111.2
,Edmond Sumner,Ind,G,24.62,31,14.4,30.0,17.3,11.9,29,0.552,89,0.528,53,0.264,0.479,0.491,4.9,1.5,5.5,1.8,16.7,0.48,0.29,0.68,6.6,101.0,103.3
,Allonzo Trier,Nyk,G,24.58,24,12.1,25.2,21.6,15.5,43,0.791,53,0.604,53,0.358,0.571,0.62,6.5,1.3,5.5,1.2,14.8,0.13,0.17,0.96,7.2,113.9,108.9
,Chris Clemons,Hou,G,23.06,33,8.8,18.3,23.6,11.5,11,0.909,35,0.571,107,0.346,0.532,0.548,4.9,0.9,5.4,0.8,14.3,0.24,0.15,0.58,6.9,104.4,106.5
,Brandon Knight,Det,G,28.7,9,24.6,51.2,22.2,19.6,21,0.762,14,0.357,67,0.388,0.543,0.576,11.6,2.3,5.4,4.2,25.6,0.56,0.11,2.44,7.8,106.2,108.2
,Shabazz Napier,Was,G,29.09,20,24.4,50.9,21.6,20.5,65,0.831,92,0.489,81,0.358,0.512,0.573,11.6,2.4,5.4,3.8,21.6,1.45,0.2,2.6,7.8,103.7,110.9
,Frank Ntilikina,Nyk,G,22.05,57,20.8,43.4,15.4,16.5,59,0.864,196,0.444,137,0.321,0.459,0.497,6.3,2.1,5.4,3.0,20.2,0.95,0.28,1.25,6.6,102.6,104.4
,Tremont Waters,Bos,G,22.59,11,10.8,22.5,24.3,22.2,8,1.0,25,0.4,24,0.167,0.327,0.381,3.6,1.1,5.4,1.5,18.4,0.91,0.18,1.36,6.7,73.4,97.6
,Avery Bradley,Lal,G,29.72,49,24.2,50.4,15.7,10.7,24,0.833,210,0.51,173,0.364,0.526,0.537,8.6,2.3,5.3,1.3,7.2,0.88,0.1,0.96,4.9,103.2,102.3
,Charles Brown Jr.,Atl,G,22.53,10,4.1,8.4,24.8,12.4,5,1.0,10,0.3,9,0.333,0.395,0.472,2.0,0.4,5.3,0.2,7.2,0.2,0.2,0.3,5.3,93.3,113.0
,Tim Frazier,Det,G,29.79,27,13.1,27.4,17.3,25.6,24,0.792,64,0.375,30,0.333,0.415,0.464,3.6,1.2,5.3,3.4,36.6,0.52,0.11,1.33,7.5,99.6,104.8
,Aaron Holiday,Ind,G,23.87,66,24.5,51.1,18.7,12.6,87,0.851,342,0.427,221,0.394,0.491,0.521,9.5,2.3,5.3,3.4,19.1,0.85,0.24,1.32,6.9,104.3,105.8
,Derrick Rose,Det,G,31.86,50,26.0,54.1,31.6,13.4,139,0.871,606,0.535,147,0.306,0.52,0.555,18.1,2.4,5.3,5.6,40.5,0.8,0.34,2.52,9.6,109.6,114.0
,Collin Sexton,Cle,G,21.61,65,33.0,68.7,27.2,11.6,267,0.846,832,0.5,255,0.38,0.517,0.56,20.8,3.2,5.3,3.0,15.1,1.02,0.11,2.43,7.1,108.5,112.9
,Yogi Ferrell,Sac,G,27.27,50,10.6,22.1,19.2,11.9,42,0.857,109,0.505,79,0.304,0.484,0.528,4.4,1.0,5.2,1.4,18.8,0.36,0.08,0.56,6.9,107.3,109.9
,Devonte' Graham,Cha,G,25.48,63,35.1,73.1,24.8,14.5,233,0.82,378,0.397,585,0.373,0.495,0.537,18.2,3.3,5.2,7.5,35.4,0.98,0.24,2.87,8.7,109.6,112.4
,Jeremiah Martin,Bro,G,24.15,9,11.0,22.9,26.7,6.3,14,0.786,35,0.543,18,0.278,0.5,0.541,7.1,1.1,5.2,2.0,30.8,0.78,0.22,0.44,9.1,115.8,104.3
,Matthew Dellavedova,Cle,G,29.93,57,14.4,30.0,13.0,23.6,37,0.865,84,0.488,91,0.231,0.414,0.463,3.1,1.3,5.1,3.2,29.0,0.37,0.04,1.04,6.5,103.2,110.0
,Gary Harris,Den,G,25.92,56,31.8,66.2,15.1,9.7,92,0.815,309,0.479,210,0.333,0.487,0.519,10.4,2.9,5.1,2.1,8.9,1.36,0.25,1.07,5.0,104.8,109.2
,Kendrick Nunn,Mia,G,25.03,67,29.3,61.0,24.0,10.6,100,0.85,523,0.505,391,0.35,0.514,0.534,15.3,2.7,5.1,3.3,18.5,0.84,0.22,1.7,7.0,103.3,106.4
,JJ Redick,Nor,G,36.14,60,26.4,54.9,20.4,9.5,185,0.892,234,0.453,397,0.453,0.596,0.644,15.3,2.5,5.1,2.0,10.8,0.33,0.18,1.25,6.4,121.9,112.1
,Wesley Matthews,Mil,G,33.84,67,24.4,50.8,12.5,8.7,68,0.765,125,0.472,297,0.364,0.524,0.547,7.4,2.5,5.0,1.4,7.1,0.55,0.13,0.64,4.9,108.5,101.9
,Patrick McCaw,Tor,G,24.81,37,24.5,51.1,9.4,14.6,18,0.722,91,0.484,71,0.324,0.485,0.5,4.6,2.3,5.0,2.1,11.5,1.05,0.11,0.78,4.6,105.1,104.0
,Ben McLemore,Hou,G,27.51,71,22.8,47.5,16.0,8.0,67,0.746,93,0.656,452,0.4,0.61,0.622,10.1,2.2,5.0,0.8,5.2,0.65,0.23,0.7,4.6,117.3,106.0
,Raul Neto,Phi,G,28.24,54,12.4,25.8,18.6,16.3,47,0.83,133,0.504,88,0.386,0.534,0.569,5.1,1.1,5.0,1.8,20.3,0.44,0.11,0.87,7.0,108.8,106.4
,Shamorie Ponds,Tor,G,19.2,4,2.7,5.5,23.7,0.0,2,1.0,3,0.667,2,0.5,0.7,0.765,2.3,0.3,5.0,0.5,34.3,0.0,0.25,0.0,10.4,,
,Jordan Poole,Gol,G,21.16,57,22.3,46.6,21.0,11.5,119,0.798,237,0.392,265,0.279,0.406,0.454,8.8,2.1,5.0,2.4,15.8,0.6,0.18,1.26,6.3,91.8,111.4
,Langston Galloway,Det,G,28.68,66,25.8,53.7,15.9,6.5,84,0.857,211,0.493,331,0.399,0.557,0.584,10.2,2.2,4.9,1.5,8.8,0.73,0.15,0.61,5.0,117.7,112.3
,Courtney Lee,Dal,G,34.87,24,14.4,30.0,11.9,11.4,7,0.857,35,0.543,47,0.447,0.616,0.629,4.5,1.3,4.9,0.5,4.7,0.75,0.25,0.46,4.0,115.9,105.0
,Adam Mokoka,Chi,G,22.08,11,10.2,21.2,12.1,6.3,4,0.5,13,0.462,15,0.4,0.536,0.538,2.9,0.9,4.9,0.4,5.0,0.36,0.0,0.18,4.0,114.6,101.4
